freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.558e+02,8.584e+00,1.454e+01,4.790e+02
1.6,2.659e+02,2.605e+01,3.242e+01,3.244e+02
3.1,3.736e+01,2.579e+01,3.279e+01,9.594e+01
4.7,3.772e+02,2.575e+01,3.273e+01,4.357e+02
6.3,1.242e+03,2.320e+01,3.212e+01,1.298e+03
7.8,1.916e+03,2.629e+01,3.536e+01,1.978e+03
9.4,2.678e+03,2.727e+01,3.632e+01,2.742e+03
11.0,3.642e+03,2.666e+01,3.819e+01,3.707e+03
12.5,4.857e+03,2.642e+01,3.499e+01,4.918e+03
14.1,6.312e+03,2.883e+01,3.645e+01,6.378e+03
15.7,7.958e+03,2.955e+01,3.524e+01,8.023e+03
17.2,9.896e+03,3.149e+01,3.296e+01,9.961e+03
18.8,1.191e+04,3.061e+01,3.433e+01,1.197e+04
20.4,1.415e+04,2.681e+01,3.734e+01,1.422e+04
21.9,1.694e+04,3.214e+01,4.239e+01,1.702e+04
23.5,2.016e+04,3.855e+01,4.567e+01,2.025e+04
25.1,2.390e+04,4.108e+01,5.466e+01,2.399e+04
26.6,2.858e+04,5.523e+01,6.223e+01,2.870e+04
28.2,3.216e+04,1.105e+02,7.651e+01,3.235e+04
29.8,3.633e+04,1.306e+02,8.855e+01,3.655e+04
31.3,4.408e+04,1.314e+02,1.053e+02,4.431e+04
32.9,5.348e+04,1.342e+02,1.203e+02,5.373e+04
34.5,6.645e+04,1.408e+02,1.662e+02,6.675e+04
36.0,8.509e+04,1.403e+02,2.541e+02,8.548e+04
37.6,1.112e+05,1.457e+02,4.493e+02,1.118e+05
39.2,1.438e+05,1.678e+02,8.019e+02,1.448e+05
40.7,1.965e+05,1.845e+02,1.544e+03,1.982e+05
42.3,2.900e+05,2.021e+02,3.122e+03,2.933e+05
43.9,4.367e+05,2.230e+02,6.375e+03,4.433e+05
45.4,7.318e+05,4.217e+02,1.069e+04,7.430e+05
47.0,1.192e+06,8.731e+02,1.214e+04,1.205e+06
48.6,1.402e+06,1.592e+03,1.669e+04,1.420e+06
50.1,1.079e+06,1.344e+03,1.378e+04,1.094e+06
51.7,7.240e+05,1.533e+03,9.597e+03,7.352e+05
53.3,5.161e+05,1.374e+03,6.790e+03,5.243e+05
54.8,4.182e+05,1.256e+03,4.984e+03,4.244e+05
56.4,2.502e+05,7.188e+02,2.795e+03,2.538e+05
58.0,1.294e+05,2.504e+02,2.580e+03,1.322e+05
59.5,7.719e+04,1.020e+02,3.541e+03,8.083e+04
61.1,5.011e+04,7.110e+01,4.315e+03,5.450e+04
62.7,3.606e+04,1.205e+02,5.874e+03,4.205e+04
64.2,2.694e+04,2.565e+02,7.523e+03,3.472e+04
65.8,2.277e+04,4.809e+02,8.642e+03,3.190e+04
67.4,2.235e+04,9.113e+02,8.928e+03,3.219e+04
68.9,2.238e+04,1.487e+03,8.898e+03,3.276e+04
70.5,2.133e+04,1.668e+03,8.018e+03,3.101e+04
72.1,2.010e+04,1.404e+03,6.623e+03,2.813e+04
73.6,1.794e+04,8.947e+02,5.826e+03,2.466e+04
75.2,1.838e+04,5.622e+02,6.801e+03,2.574e+04
76.8,3.399e+04,1.153e+03,9.945e+03,4.509e+04
78.3,8.331e+04,3.061e+03,1.423e+04,1.006e+05
79.9,1.768e+05,5.522e+03,1.788e+04,2.002e+05
81.5,2.721e+05,6.707e+03,1.966e+04,2.985e+05
83.0,3.155e+05,6.010e+03,1.953e+04,3.411e+05
84.6,3.648e+05,4.758e+03,1.897e+04,3.885e+05
86.2,3.991e+05,3.484e+03,1.804e+04,4.206e+05
87.7,4.284e+05,2.690e+03,1.808e+04,4.492e+05
89.3,4.617e+05,2.624e+03,1.852e+04,4.829e+05
90.9,4.741e+05,3.312e+03,1.908e+04,4.965e+05
92.5,4.667e+05,4.728e+03,1.976e+04,4.912e+05
94.0,4.488e+05,6.997e+03,1.983e+04,4.757e+05
95.6,4.416e+05,7.830e+03,1.975e+04,4.692e+05
97.2,4.571e+05,6.738e+03,1.976e+04,4.836e+05
98.7,4.520e+05,5.800e+03,1.992e+04,4.777e+05
100.3,4.380e+05,5.634e+03,2.129e+04,4.649e+05
101.9,4.358e+05,6.702e+03,2.257e+04,4.651e+05
