freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.616e+01,5.088e+01,1.849e+02,2.519e+02
1.6,2.151e+01,4.713e+01,1.243e+02,1.929e+02
3.1,1.686e+01,2.321e+01,4.992e+01,9.000e+01
4.7,1.869e+01,2.337e+01,4.356e+02,4.777e+02
6.3,2.128e+01,2.513e+01,1.279e+03,1.326e+03
7.8,2.145e+01,2.607e+01,1.792e+03,1.839e+03
9.4,2.311e+01,2.593e+01,2.680e+03,2.729e+03
11.0,2.306e+01,2.539e+01,3.780e+03,3.829e+03
12.5,2.139e+01,2.485e+01,5.410e+03,5.456e+03
14.1,1.932e+01,2.565e+01,7.565e+03,7.610e+03
15.7,2.882e+01,2.634e+01,9.696e+03,9.751e+03
17.2,3.604e+01,2.717e+01,1.159e+04,1.165e+04
18.8,3.172e+01,2.544e+01,1.411e+04,1.416e+04
20.4,3.176e+01,2.635e+01,1.568e+04,1.573e+04
21.9,3.196e+01,3.524e+01,1.552e+04,1.559e+04
23.5,4.233e+01,5.558e+01,1.604e+04,1.614e+04
25.1,5.612e+01,8.168e+01,1.813e+04,1.827e+04
26.6,5.137e+01,8.483e+01,1.768e+04,1.782e+04
28.2,4.572e+01,9.914e+01,1.669e+04,1.684e+04
29.8,4.231e+01,1.127e+02,1.888e+04,1.903e+04
31.3,4.547e+01,1.390e+02,2.321e+04,2.339e+04
32.9,5.760e+01,1.868e+02,2.846e+04,2.871e+04
34.5,9.375e+01,2.271e+02,3.548e+04,3.580e+04
36.0,1.689e+02,2.736e+02,4.540e+04,4.584e+04
37.6,3.465e+02,3.681e+02,6.086e+04,6.158e+04
39.2,7.479e+02,5.592e+02,8.274e+04,8.404e+04
40.7,1.651e+03,9.304e+02,1.203e+05,1.229e+05
42.3,4.197e+03,1.560e+03,1.964e+05,2.022e+05
43.9,9.219e+03,1.806e+03,2.823e+05,2.933e+05
45.4,1.321e+04,2.028e+03,2.856e+05,3.009e+05
47.0,1.291e+04,3.398e+03,2.441e+05,2.604e+05
48.6,1.348e+04,4.893e+03,2.123e+05,2.307e+05
50.1,1.768e+04,5.630e+03,1.865e+05,2.098e+05
51.7,2.069e+04,7.016e+03,1.615e+05,1.892e+05
53.2,2.265e+04,7.674e+03,1.373e+05,1.677e+05
54.8,2.704e+04,1.472e+04,1.101e+05,1.519e+05
56.4,3.234e+04,4.241e+04,9.828e+04,1.730e+05
57.9,3.103e+04,8.558e+04,1.115e+05,2.281e+05
59.5,2.656e+04,1.221e+05,1.332e+05,2.819e+05
61.1,2.257e+04,1.245e+05,1.320e+05,2.790e+05
62.6,2.318e+04,1.121e+05,1.164e+05,2.517e+05
64.2,2.442e+04,1.025e+05,9.968e+04,2.266e+05
65.8,2.346e+04,9.679e+04,8.600e+04,2.063e+05
67.3,2.003e+04,9.048e+04,7.382e+04,1.843e+05
68.9,1.737e+04,8.806e+04,6.611e+04,1.715e+05
70.5,1.650e+04,9.239e+04,6.422e+04,1.731e+05
72.0,1.576e+04,9.762e+04,6.285e+04,1.762e+05
73.6,1.591e+04,1.033e+05,6.158e+04,1.808e+05
75.2,1.753e+04,1.099e+05,5.979e+04,1.872e+05
76.7,2.007e+04,1.145e+05,5.674e+04,1.913e+05
78.3,2.140e+04,1.150e+05,5.287e+04,1.893e+05
79.9,1.983e+04,1.092e+05,4.814e+04,1.771e+05
81.4,1.633e+04,9.996e+04,4.308e+04,1.594e+05
83.0,1.095e+04,8.908e+04,3.816e+04,1.382e+05
84.6,9.711e+03,8.842e+04,3.505e+04,1.332e+05
86.1,1.609e+04,9.172e+04,3.172e+04,1.395e+05
87.7,2.371e+04,9.142e+04,2.893e+04,1.441e+05
89.3,2.877e+04,8.926e+04,2.733e+04,1.454e+05
90.8,3.679e+04,8.937e+04,2.527e+04,1.514e+05
92.4,4.655e+04,9.038e+04,2.290e+04,1.598e+05
94.0,4.756e+04,8.893e+04,2.075e+04,1.572e+05
95.5,3.855e+04,8.609e+04,1.884e+04,1.435e+05
97.1,3.270e+04,8.153e+04,1.631e+04,1.305e+05
98.7,3.128e+04,7.269e+04,1.361e+04,1.176e+05
100.2,2.582e+04,6.046e+04,1.101e+04,9.730e+04
101.8,1.905e+04,4.805e+04,7.785e+03,7.488e+04
103.4,1.558e+04,3.272e+04,5.074e+03,5.338e+04
104.9,9.858e+03,1.923e+04,3.642e+03,3.273e+04
106.5,6.544e+03,1.394e+04,3.250e+03,2.374e+04
108.1,7.418e+03,1.356e+04,3.292e+03,2.427e+04
109.6,7.822e+03,1.463e+04,3.529e+03,2.599e+04
111.2,6.066e+03,1.643e+04,4.441e+03,2.693e+04
112.8,6.585e+03,1.786e+04,4.653e+03,2.910e+04
114.3,6.963e+03,1.700e+04,4.705e+03,2.867e+04
115.9,1.048e+04,1.745e+04,4.706e+03,3.263e+04
117.5,1.261e+04,2.339e+04,5.865e+03,4.187e+04
119.0,1.053e+04,2.508e+04,7.104e+03,4.272e+04
120.6,8.463e+03,2.428e+04,8.299e+03,4.104e+04
122.2,7.385e+03,2.383e+04,9.109e+03,4.032e+04
123.7,6.478e+03,2.326e+04,9.784e+03,3.952e+04
125.3,5.529e+03,2.196e+04,1.013e+04,3.761e+04
126.9,5.123e+03,2.150e+04,1.053e+04,3.715e+04
128.4,4.942e+03,2.384e+04,1.251e+04,4.129e+04
130.0,4.061e+03,2.316e+04,1.428e+04,4.150e+04
131.6,3.419e+03,2.055e+04,1.483e+04,3.881e+04
133.1,2.141e+03,1.111e+04,9.217e+03,2.247e+04
134.7,1.018e+03,1.863e+03,2.224e+03,5.106e+03
136.3,9.820e+02,1.180e+03,1.287e+03,3.449e+03
137.8,9.745e+02,1.418e+03,9.146e+02,3.307e+03
139.4,8.616e+02,1.875e+03,5.594e+02,3.296e+03
141.0,6.444e+02,2.316e+03,3.004e+02,3.261e+03
142.5,5.348e+02,2.563e+03,1.847e+02,3.283e+03
144.1,4.958e+02,2.555e+03,1.406e+02,3.192e+03
145.7,4.476e+02,2.636e+03,1.571e+02,3.240e+03
147.2,4.336e+02,2.712e+03,2.046e+02,3.350e+03
148.8,3.151e+02,2.513e+03,2.949e+02,3.123e+03
150.4,2.324e+02,2.524e+03,4.000e+02,3.156e+03
151.9,2.267e+02,2.298e+03,5.096e+02,3.035e+03
153.5,2.681e+02,2.347e+03,6.121e+02,3.227e+03
155.1,3.328e+02,2.442e+03,7.010e+02,3.475e+03
156.6,3.434e+02,2.387e+03,8.379e+02,3.568e+03
158.2,3.400e+02,2.295e+03,9.119e+02,3.547e+03
159.7,3.378e+02,2.294e+03,9.465e+02,3.579e+03
161.3,3.308e+02,2.296e+03,9.288e+02,3.556e+03
162.9,3.237e+02,2.299e+03,8.265e+02,3.449e+03
164.4,2.985e+02,2.236e+03,7.379e+02,3.272e+03
166.0,2.906e+02,1.997e+03,6.463e+02,2.934e+03
167.6,2.679e+02,1.739e+03,5.673e+02,2.574e+03
169.1,3.003e+02,1.597e+03,5.455e+02,2.443e+03
170.7,4.284e+02,1.526e+03,5.846e+02,2.539e+03
172.3,6.283e+02,1.535e+03,6.394e+02,2.803e+03
173.8,8.091e+02,1.474e+03,5.936e+02,2.877e+03
175.4,9.519e+02,1.383e+03,4.827e+02,2.818e+03
177.0,9.927e+02,1.341e+03,3.455e+02,2.680e+03
178.5,8.491e+02,1.270e+03,2.304e+02,2.350e+03
180.1,7.231e+02,1.273e+03,1.640e+02,2.160e+03
181.7,6.332e+02,1.239e+03,1.394e+02,2.011e+03
183.2,6.370e+02,1.186e+03,1.366e+02,1.959e+03
184.8,7.095e+02,1.182e+03,1.300e+02,2.021e+03
186.4,7.116e+02,1.121e+03,1.253e+02,1.958e+03
187.9,7.433e+02,1.006e+03,1.294e+02,1.879e+03
189.5,7.184e+02,9.152e+02,1.417e+02,1.775e+03
191.1,7.013e+02,8.554e+02,1.569e+02,1.714e+03
192.6,6.930e+02,8.550e+02,1.488e+02,1.697e+03
194.2,6.713e+02,8.712e+02,1.748e+02,1.717e+03
195.8,6.621e+02,8.489e+02,2.072e+02,1.718e+03
197.3,6.722e+02,7.652e+02,2.219e+02,1.659e+03
198.9,6.614e+02,8.133e+02,2.237e+02,1.698e+03
